Kaynak,Zaman,Öncelik,Başlık,Orijinal Başlık,Link,Analiz
Defence News (Global),"Fri, 28 Nov 2025 13:12:24 +0000",🔴 KRİTİK,"[ÇEVİRİ] Dutch, C-UAS deliğini kapatmak için mobil anti-drone sistemini bir araya getirecek",Dutch to cobble together mobile anti-drone system to plug C-UAS hole,https://www.defensenews.com/global/europe/2025/11/28/dutch-to-cobble-together-mobile-anti-drone-system-to-plug-c-uas-hole/
Defence News (Global),"Fri, 28 Nov 2025 12:55:11 +0000",Normal,"[ÇEVİRİ] Romanya, Karadeniz filosunu Türk yapımı devriye gemisiyle güçlendirecek",Romania to boost its Black Sea fleet with Turkish-made patrol ship,https://www.defensenews.com/global/europe/2025/11/28/romania-to-boost-its-black-sea-fleet-with-turkish-made-patrol-ship/
Defence News (Global),"Thu, 27 Nov 2025 10:49:00 +0000",🔴 KRİTİK,"[ÇEVİRİ] Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor","Poland picks Saab’s A26 submarine design, contract eyed by year’s end",https://www.defensenews.com/global/europe/2025/11/27/poland-picks-saabs-a26-submarine-design-contract-eyed-by-years-end/
Air Force Times (USA),"Fri, 28 Nov 2025 02:41:58 +0000",Normal,[ÇEVİRİ] Afgan vatandaşının vurduğu Ulusal Muhafızlardan biri hayatını kaybetti,One National Guard member shot by Afghan national has died,https://www.airforcetimes.com/news/your-military/2025/11/28/one-national-guard-member-shot-by-afghan-national-has-died/
Air Force Times (USA),"Thu, 27 Nov 2025 15:42:27 +0000",Normal,[ÇEVİRİ] Ulusal Muhafız saldırısında ölenlerin kimlikleri belirlendi,National Guard shooting victims identified,https://www.airforcetimes.com/news/your-military/2025/11/27/national-guard-shooting-victims-identified/
Air Force Times (USA),"Thu, 27 Nov 2025 14:41:49 +0000",Normal,[ÇEVİRİ] 2 Ulusal Muhafız mensubunun vurulmasının ardından Afgan vatandaşı gözaltına alındı,Afghan national in custody after shooting of 2 National Guard members,https://www.airforcetimes.com/news/your-military/2025/11/27/afghan-national-in-custody-after-shooting-of-2-national-guard-members/
Breaking Defense (Global),"Wed, 26 Nov 2025 19:28:00 +0000",Normal,"[ÇEVİRİ] Startup Spaceflux, Birleşik Krallık sivil/savunma alanı izleme çabalarında kilit rolü güvence altına alıyor",Startup Spaceflux secures key role in UK civil/defense space tracking effort,https://breakingdefense.com/2025/11/startup-spaceflux-secures-key-role-in-uk-civil-defense-space-tracking-effort/
Breaking Defense (Global),"Wed, 26 Nov 2025 18:30:00 +0000",Normal,"[ÇEVİRİ] Polonya, geleceğin denizaltısı olarak İsveç'in Saab A26'sını seçti",Poland selects Sweden’s Saab A26 as future submarine,https://breakingdefense.com/2025/11/poland-selects-swedens-saab-a26-as-future-submarine/
Breaking Defense (Global),"Wed, 26 Nov 2025 17:29:00 +0000",Normal,[ÇEVİRİ] Ukrayna ihtilafından muharebe tıbbı dersleri,Lessons for combat medicine from the Ukraine conflict,https://breakingdefense.com/2025/11/lessons-for-combat-medicine-from-the-ukraine-conflict/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 16:24:16 +0000",🔴 KRİTİK,Rusya’nın kıtalararası balistik füze testi başarısız oldu,Rusya’nın kıtalararası balistik füze testi başarısız oldu,https://www.savunmasanayist.com/rusyanin-kitalararasi-balistik-fuze-testi-basarisiz-oldu/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 15:20:11 +0000",Normal,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,https://www.savunmasanayist.com/ingilterenin-150-milyar-avroluk-safee-katilim-gorusmeleri-cikmazda/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 08:57:07 +0000",Normal,Romanya’dan 625 milyon avroluk Mistral hamlesi,Romanya’dan 625 milyon avroluk Mistral hamlesi,https://www.savunmasanayist.com/romanyadan-625-milyon-avroluk-mistral-hamlesi/
Defence News (Global),"Fri, 28 Nov 2025 13:12:24 +0000",🔴 KRİTİK,"[ÇEVİRİ] Dutch, C-UAS deliğini kapatmak için mobil anti-drone sistemini bir araya getirecek",Dutch to cobble together mobile anti-drone system to plug C-UAS hole,https://www.defensenews.com/global/europe/2025/11/28/dutch-to-cobble-together-mobile-anti-drone-system-to-plug-c-uas-hole/
Defence News (Global),"Fri, 28 Nov 2025 12:55:11 +0000",Normal,"[ÇEVİRİ] Romanya, Karadeniz filosunu Türk yapımı devriye gemisiyle güçlendirecek",Romania to boost its Black Sea fleet with Turkish-made patrol ship,https://www.defensenews.com/global/europe/2025/11/28/romania-to-boost-its-black-sea-fleet-with-turkish-made-patrol-ship/
Defence News (Global),"Thu, 27 Nov 2025 10:49:00 +0000",🔴 KRİTİK,"[ÇEVİRİ] Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor","Poland picks Saab’s A26 submarine design, contract eyed by year’s end",https://www.defensenews.com/global/europe/2025/11/27/poland-picks-saabs-a26-submarine-design-contract-eyed-by-years-end/
Air Force Times (USA),"Fri, 28 Nov 2025 02:41:58 +0000",Normal,[ÇEVİRİ] Afgan vatandaşının vurduğu Ulusal Muhafızlardan biri hayatını kaybetti,One National Guard member shot by Afghan national has died,https://www.airforcetimes.com/news/your-military/2025/11/28/one-national-guard-member-shot-by-afghan-national-has-died/
Air Force Times (USA),"Thu, 27 Nov 2025 15:42:27 +0000",Normal,[ÇEVİRİ] Ulusal Muhafız saldırısında ölenlerin kimlikleri belirlendi,National Guard shooting victims identified,https://www.airforcetimes.com/news/your-military/2025/11/27/national-guard-shooting-victims-identified/
Air Force Times (USA),"Thu, 27 Nov 2025 14:41:49 +0000",Normal,[ÇEVİRİ] 2 Ulusal Muhafız mensubunun vurulmasının ardından Afgan vatandaşı gözaltına alındı,Afghan national in custody after shooting of 2 National Guard members,https://www.airforcetimes.com/news/your-military/2025/11/27/afghan-national-in-custody-after-shooting-of-2-national-guard-members/
Breaking Defense (Global),"Wed, 26 Nov 2025 19:28:00 +0000",Normal,"[ÇEVİRİ] Startup Spaceflux, Birleşik Krallık sivil/savunma alanı izleme çabalarında kilit rolü güvence altına alıyor",Startup Spaceflux secures key role in UK civil/defense space tracking effort,https://breakingdefense.com/2025/11/startup-spaceflux-secures-key-role-in-uk-civil-defense-space-tracking-effort/
Breaking Defense (Global),"Wed, 26 Nov 2025 18:30:00 +0000",Normal,"[ÇEVİRİ] Polonya, geleceğin denizaltısı olarak İsveç'in Saab A26'sını seçti",Poland selects Sweden’s Saab A26 as future submarine,https://breakingdefense.com/2025/11/poland-selects-swedens-saab-a26-as-future-submarine/
Breaking Defense (Global),"Wed, 26 Nov 2025 17:29:00 +0000",Normal,[ÇEVİRİ] Ukrayna ihtilafından muharebe tıbbı dersleri,Lessons for combat medicine from the Ukraine conflict,https://breakingdefense.com/2025/11/lessons-for-combat-medicine-from-the-ukraine-conflict/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 16:24:16 +0000",🔴 KRİTİK,Rusya’nın kıtalararası balistik füze testi başarısız oldu,Rusya’nın kıtalararası balistik füze testi başarısız oldu,https://www.savunmasanayist.com/rusyanin-kitalararasi-balistik-fuze-testi-basarisiz-oldu/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 15:20:11 +0000",Normal,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,https://www.savunmasanayist.com/ingilterenin-150-milyar-avroluk-safee-katilim-gorusmeleri-cikmazda/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 08:57:07 +0000",Normal,Romanya’dan 625 milyon avroluk Mistral hamlesi,Romanya’dan 625 milyon avroluk Mistral hamlesi,https://www.savunmasanayist.com/romanyadan-625-milyon-avroluk-mistral-hamlesi/
Defence News (Global),"Fri, 28 Nov 2025 13:12:24 +0000",🔴 KRİTİK,"[ÇEVİRİ] Dutch, C-UAS deliğini kapatmak için mobil anti-drone sistemini bir araya getirecek",Dutch to cobble together mobile anti-drone system to plug C-UAS hole,https://www.defensenews.com/global/europe/2025/11/28/dutch-to-cobble-together-mobile-anti-drone-system-to-plug-c-uas-hole/
Defence News (Global),"Fri, 28 Nov 2025 12:55:11 +0000",Normal,"[ÇEVİRİ] Romanya, Karadeniz filosunu Türk yapımı devriye gemisiyle güçlendirecek",Romania to boost its Black Sea fleet with Turkish-made patrol ship,https://www.defensenews.com/global/europe/2025/11/28/romania-to-boost-its-black-sea-fleet-with-turkish-made-patrol-ship/
Defence News (Global),"Thu, 27 Nov 2025 10:49:00 +0000",🔴 KRİTİK,"[ÇEVİRİ] Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor","Poland picks Saab’s A26 submarine design, contract eyed by year’s end",https://www.defensenews.com/global/europe/2025/11/27/poland-picks-saabs-a26-submarine-design-contract-eyed-by-years-end/
Air Force Times (USA),"Fri, 28 Nov 2025 02:41:58 +0000",Normal,[ÇEVİRİ] Afgan vatandaşının vurduğu Ulusal Muhafızlardan biri hayatını kaybetti,One National Guard member shot by Afghan national has died,https://www.airforcetimes.com/news/your-military/2025/11/28/one-national-guard-member-shot-by-afghan-national-has-died/
Air Force Times (USA),"Thu, 27 Nov 2025 15:42:27 +0000",Normal,[ÇEVİRİ] Ulusal Muhafız saldırısında ölenlerin kimlikleri belirlendi,National Guard shooting victims identified,https://www.airforcetimes.com/news/your-military/2025/11/27/national-guard-shooting-victims-identified/
Air Force Times (USA),"Thu, 27 Nov 2025 14:41:49 +0000",Normal,[ÇEVİRİ] 2 Ulusal Muhafız mensubunun vurulmasının ardından Afgan vatandaşı gözaltına alındı,Afghan national in custody after shooting of 2 National Guard members,https://www.airforcetimes.com/news/your-military/2025/11/27/afghan-national-in-custody-after-shooting-of-2-national-guard-members/
Breaking Defense (Global),"Wed, 26 Nov 2025 19:28:00 +0000",Normal,"[ÇEVİRİ] Startup Spaceflux, Birleşik Krallık sivil/savunma alanı izleme çabalarında kilit rolü güvence altına alıyor",Startup Spaceflux secures key role in UK civil/defense space tracking effort,https://breakingdefense.com/2025/11/startup-spaceflux-secures-key-role-in-uk-civil-defense-space-tracking-effort/
Breaking Defense (Global),"Wed, 26 Nov 2025 18:30:00 +0000",Normal,"[ÇEVİRİ] Polonya, geleceğin denizaltısı olarak İsveç'in Saab A26'sını seçti",Poland selects Sweden’s Saab A26 as future submarine,https://breakingdefense.com/2025/11/poland-selects-swedens-saab-a26-as-future-submarine/
Breaking Defense (Global),"Wed, 26 Nov 2025 17:29:00 +0000",Normal,[ÇEVİRİ] Ukrayna ihtilafından muharebe tıbbı dersleri,Lessons for combat medicine from the Ukraine conflict,https://breakingdefense.com/2025/11/lessons-for-combat-medicine-from-the-ukraine-conflict/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 16:24:16 +0000",🔴 KRİTİK,Rusya’nın kıtalararası balistik füze testi başarısız oldu,Rusya’nın kıtalararası balistik füze testi başarısız oldu,https://www.savunmasanayist.com/rusyanin-kitalararasi-balistik-fuze-testi-basarisiz-oldu/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 15:20:11 +0000",Normal,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,https://www.savunmasanayist.com/ingilterenin-150-milyar-avroluk-safee-katilim-gorusmeleri-cikmazda/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 08:57:07 +0000",Normal,Romanya’dan 625 milyon avroluk Mistral hamlesi,Romanya’dan 625 milyon avroluk Mistral hamlesi,https://www.savunmasanayist.com/romanyadan-625-milyon-avroluk-mistral-hamlesi/
Defence News (Global),"Fri, 28 Nov 2025 13:12:24 +0000",🔴 KRİTİK,"[ÇEVİRİ] Dutch, C-UAS deliğini kapatmak için mobil anti-drone sistemini bir araya getirecek",Dutch to cobble together mobile anti-drone system to plug C-UAS hole,https://www.defensenews.com/global/europe/2025/11/28/dutch-to-cobble-together-mobile-anti-drone-system-to-plug-c-uas-hole/
Defence News (Global),"Fri, 28 Nov 2025 12:55:11 +0000",Normal,"[ÇEVİRİ] Romanya, Karadeniz filosunu Türk yapımı devriye gemisiyle güçlendirecek",Romania to boost its Black Sea fleet with Turkish-made patrol ship,https://www.defensenews.com/global/europe/2025/11/28/romania-to-boost-its-black-sea-fleet-with-turkish-made-patrol-ship/
Defence News (Global),"Thu, 27 Nov 2025 10:49:00 +0000",🔴 KRİTİK,"[ÇEVİRİ] Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor","Poland picks Saab’s A26 submarine design, contract eyed by year’s end",https://www.defensenews.com/global/europe/2025/11/27/poland-picks-saabs-a26-submarine-design-contract-eyed-by-years-end/
Air Force Times (USA),"Fri, 28 Nov 2025 02:41:58 +0000",Normal,[ÇEVİRİ] Afgan vatandaşının vurduğu Ulusal Muhafızlardan biri hayatını kaybetti,One National Guard member shot by Afghan national has died,https://www.airforcetimes.com/news/your-military/2025/11/28/one-national-guard-member-shot-by-afghan-national-has-died/
Air Force Times (USA),"Thu, 27 Nov 2025 15:42:27 +0000",Normal,[ÇEVİRİ] Ulusal Muhafız saldırısında ölenlerin kimlikleri belirlendi,National Guard shooting victims identified,https://www.airforcetimes.com/news/your-military/2025/11/27/national-guard-shooting-victims-identified/
Air Force Times (USA),"Thu, 27 Nov 2025 14:41:49 +0000",Normal,[ÇEVİRİ] 2 Ulusal Muhafız mensubunun vurulmasının ardından Afgan vatandaşı gözaltına alındı,Afghan national in custody after shooting of 2 National Guard members,https://www.airforcetimes.com/news/your-military/2025/11/27/afghan-national-in-custody-after-shooting-of-2-national-guard-members/
Breaking Defense (Global),"Wed, 26 Nov 2025 19:28:00 +0000",Normal,"[ÇEVİRİ] Startup Spaceflux, Birleşik Krallık sivil/savunma alanı izleme çabalarında kilit rolü güvence altına alıyor",Startup Spaceflux secures key role in UK civil/defense space tracking effort,https://breakingdefense.com/2025/11/startup-spaceflux-secures-key-role-in-uk-civil-defense-space-tracking-effort/
Breaking Defense (Global),"Wed, 26 Nov 2025 18:30:00 +0000",Normal,"[ÇEVİRİ] Polonya, geleceğin denizaltısı olarak İsveç'in Saab A26'sını seçti",Poland selects Sweden’s Saab A26 as future submarine,https://breakingdefense.com/2025/11/poland-selects-swedens-saab-a26-as-future-submarine/
Breaking Defense (Global),"Wed, 26 Nov 2025 17:29:00 +0000",Normal,[ÇEVİRİ] Ukrayna ihtilafından muharebe tıbbı dersleri,Lessons for combat medicine from the Ukraine conflict,https://breakingdefense.com/2025/11/lessons-for-combat-medicine-from-the-ukraine-conflict/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 16:24:16 +0000",🔴 KRİTİK,Rusya’nın kıtalararası balistik füze testi başarısız oldu,Rusya’nın kıtalararası balistik füze testi başarısız oldu,https://www.savunmasanayist.com/rusyanin-kitalararasi-balistik-fuze-testi-basarisiz-oldu/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 15:20:11 +0000",Normal,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,https://www.savunmasanayist.com/ingilterenin-150-milyar-avroluk-safee-katilim-gorusmeleri-cikmazda/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 08:57:07 +0000",Normal,Romanya’dan 625 milyon avroluk Mistral hamlesi,Romanya’dan 625 milyon avroluk Mistral hamlesi,https://www.savunmasanayist.com/romanyadan-625-milyon-avroluk-mistral-hamlesi/
Defence News (Global),"Fri, 28 Nov 2025 13:12:24 +0000",🔴 KRİTİK,"[ÇEVİRİ] Dutch, C-UAS deliğini kapatmak için mobil anti-drone sistemini bir araya getirecek",Dutch to cobble together mobile anti-drone system to plug C-UAS hole,https://www.defensenews.com/global/europe/2025/11/28/dutch-to-cobble-together-mobile-anti-drone-system-to-plug-c-uas-hole/
Defence News (Global),"Fri, 28 Nov 2025 12:55:11 +0000",Normal,"[ÇEVİRİ] Romanya, Karadeniz filosunu Türk yapımı devriye gemisiyle güçlendirecek",Romania to boost its Black Sea fleet with Turkish-made patrol ship,https://www.defensenews.com/global/europe/2025/11/28/romania-to-boost-its-black-sea-fleet-with-turkish-made-patrol-ship/
Defence News (Global),"Thu, 27 Nov 2025 10:49:00 +0000",🔴 KRİTİK,"[ÇEVİRİ] Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor","Poland picks Saab’s A26 submarine design, contract eyed by year’s end",https://www.defensenews.com/global/europe/2025/11/27/poland-picks-saabs-a26-submarine-design-contract-eyed-by-years-end/
Air Force Times (USA),"Fri, 28 Nov 2025 02:41:58 +0000",Normal,[ÇEVİRİ] Afgan vatandaşının vurduğu Ulusal Muhafızlardan biri hayatını kaybetti,One National Guard member shot by Afghan national has died,https://www.airforcetimes.com/news/your-military/2025/11/28/one-national-guard-member-shot-by-afghan-national-has-died/
Air Force Times (USA),"Thu, 27 Nov 2025 15:42:27 +0000",Normal,[ÇEVİRİ] Ulusal Muhafız saldırısında ölenlerin kimlikleri belirlendi,National Guard shooting victims identified,https://www.airforcetimes.com/news/your-military/2025/11/27/national-guard-shooting-victims-identified/
Air Force Times (USA),"Thu, 27 Nov 2025 14:41:49 +0000",Normal,[ÇEVİRİ] 2 Ulusal Muhafız mensubunun vurulmasının ardından Afgan vatandaşı gözaltına alındı,Afghan national in custody after shooting of 2 National Guard members,https://www.airforcetimes.com/news/your-military/2025/11/27/afghan-national-in-custody-after-shooting-of-2-national-guard-members/
Breaking Defense (Global),"Wed, 26 Nov 2025 19:28:00 +0000",Normal,"[ÇEVİRİ] Startup Spaceflux, Birleşik Krallık sivil/savunma alanı izleme çabalarında kilit rolü güvence altına alıyor",Startup Spaceflux secures key role in UK civil/defense space tracking effort,https://breakingdefense.com/2025/11/startup-spaceflux-secures-key-role-in-uk-civil-defense-space-tracking-effort/
Breaking Defense (Global),"Wed, 26 Nov 2025 18:30:00 +0000",Normal,"[ÇEVİRİ] Polonya, geleceğin denizaltısı olarak İsveç'in Saab A26'sını seçti",Poland selects Sweden’s Saab A26 as future submarine,https://breakingdefense.com/2025/11/poland-selects-swedens-saab-a26-as-future-submarine/
Breaking Defense (Global),"Wed, 26 Nov 2025 17:29:00 +0000",Normal,[ÇEVİRİ] Ukrayna ihtilafından muharebe tıbbı dersleri,Lessons for combat medicine from the Ukraine conflict,https://breakingdefense.com/2025/11/lessons-for-combat-medicine-from-the-ukraine-conflict/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 16:24:16 +0000",🔴 KRİTİK,Rusya’nın kıtalararası balistik füze testi başarısız oldu,Rusya’nın kıtalararası balistik füze testi başarısız oldu,https://www.savunmasanayist.com/rusyanin-kitalararasi-balistik-fuze-testi-basarisiz-oldu/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 15:20:11 +0000",Normal,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,İngiltere’nin 150 milyar avroluk SAFE’e katılım görüşmeleri çıkmazda,https://www.savunmasanayist.com/ingilterenin-150-milyar-avroluk-safee-katilim-gorusmeleri-cikmazda/
SavunmaSanayiST (TR),"Fri, 28 Nov 2025 08:57:07 +0000",Normal,Romanya’dan 625 milyon avroluk Mistral hamlesi,Romanya’dan 625 milyon avroluk Mistral hamlesi,https://www.savunmasanayist.com/romanyadan-625-milyon-avroluk-mistral-hamlesi/
Defence News (Global),"Fri, 28 Nov 2025 13:12:24 +0000",🔴 KRİTİK,"[ÇEVİRİ] Dutch, C-UAS deliğini kapatmak için mobil anti-drone sistemini bir araya getirecek",Dutch to cobble together mobile anti-drone system to plug C-UAS hole,https://www.defensenews.com/global/europe/2025/11/28/dutch-to-cobble-together-mobile-anti-drone-system-to-plug-c-uas-hole/
Defence News (Global),"Fri, 28 Nov 2025 12:55:11 +0000",Normal,"[ÇEVİRİ] Romanya, Karadeniz filosunu Türk yapımı devriye gemisiyle güçlendirecek",Romania to boost its Black Sea fleet with Turkish-made patrol ship,https://www.defensenews.com/global/europe/2025/11/28/romania-to-boost-its-black-sea-fleet-with-turkish-made-patrol-ship/
Defence News (Global),"Thu, 27 Nov 2025 10:49:00 +0000",🔴 KRİTİK,"[ÇEVİRİ] Polonya, Saab'ın A26 denizaltı tasarımını seçti, sözleşme yıl sonuna kadar hazırlanıyor","Poland picks Saab’s A26 submarine design, contract eyed by year’s end",https://www.defensenews.com/global/europe/2025/11/27/poland-picks-saabs-a26-submarine-design-contract-eyed-by-years-end/
Air Force Times (USA),"Fri, 28 Nov 2025 02:41:58 +0000",Normal,[ÇEVİRİ] Afgan vatandaşının vurduğu Ulusal Muhafızlardan biri hayatını kaybetti,One National Guard member shot by Afghan national has died,https://www.airforcetimes.com/news/your-military/2025/11/28/one-national-guard-member-shot-by-afghan-national-has-died/
Air Force Times (USA),"Thu, 27 Nov 2025 15:42:27 +0000",Normal,[ÇEVİRİ] Ulusal Muhafız saldırısında ölenlerin kimlikleri belirlendi,National Guard shooting victims identified,https://www.airforcetimes.com/news/your-military/2025/11/27/national-guard-shooting-victims-identified/
Air Force Times (USA),"Thu, 27 Nov 2025 14:41:49 +0000",Normal,[ÇEVİRİ] 2 Ulusal Muhafız mensubunun vurulmasının ardından Afgan vatandaşı gözaltına alındı,Afghan national in custody after shooting of 2 National Guard members,https://www.airforcetimes.com/news/your-military/2025/11/27/afghan-national-in-custody-after-shooting-of-2-national-guard-members/
Breaking Defense (Global),"Wed, 26 Nov 2025 19:28:00 +0000",Normal,"[ÇEVİRİ] Startup Spaceflux, Birleşik Krallık sivil/savunma alanı izleme çabalarında kilit rolü güvence altına alıyor",Startup Spaceflux secures key role in UK civil/defense space tracking effort,https://breakingdefense.com/2025/11/startup-spaceflux-secures-key-role-in-uk-civil-defense-space-tracking-effort/
Breaking Defense (Global),"Wed, 26 Nov 2025 18:30:00 +0000",Normal,"[ÇEVİRİ] Polonya, geleceğin denizaltısı olarak İsveç'in Saab A26'sını seçti",Poland selects Sweden’s Saab A26 as future submarine,https://breakingdefense.com/2025/11/poland-selects-swedens-saab-a26-as-future-submarine/
Breaking Defense (Global),"Wed, 26 Nov 2025 17:29:00 +0000",Normal,[ÇEVİRİ] Ukrayna ihtilafından muharebe tıbbı dersleri,Lessons for combat medicine from the Ukraine conflict,https://breakingdefense.com/2025/11/lessons-for-combat-medicine-from-the-ukraine-conflict/
